gas used, block number, num trades
273939, 517, 0
144970, 518, 0
136473, 519, 0
138377, 520, 0
138377, 521, 0
136473, 522, 0
145897, 523, 0
142863, 524, 0
145106, 525, 0
151835, 526, 0
145106, 527, 0
138377, 528, 0
147349, 529, 0
136791, 530, 0
136339, 531, 0
136473, 532, 0
151835, 533, 0
147349, 534, 0
140422, 535, 0
156321, 536, 0
160807, 537, 0
147349, 538, 0
163050, 539, 0
136473, 540, 0
140486, 541, 0
145763, 542, 0
169779, 543, 0
165293, 544, 0
149592, 545, 0
138377, 546, 0
149592, 547, 0
138243, 548, 0
138243, 549, 0
180994, 550, 0
151701, 551, 0
165293, 552, 0
154671, 553, 0
138377, 554, 0
174265, 555, 0
165293, 556, 0
160807, 557, 0
144972, 558, 0
147215, 559, 0
156321, 560, 0
167536, 561, 0
138377, 562, 0
147215, 563, 0
176508, 564, 0
158564, 565, 0
183237, 566, 0
214639, 567, 0
163707, 568, 0
160673, 569, 0
167536, 570, 0
185480, 571, 0
189966, 572, 0
176508, 573, 0
192209, 574, 0
194452, 575, 0
167536, 576, 0
172022, 577, 0
194452, 578, 0
201181, 579, 0
149592, 580, 0
194452, 581, 0
154078, 582, 0
192209, 583, 0
219125, 584, 0
241555, 585, 0
225854, 586, 0
140486, 587, 0
140486, 588, 0
172022, 589, 0
255013, 590, 0
142863, 591, 0
162916, 592, 0
138243, 593, 0
189966, 594, 0
198938, 595, 0
138377, 596, 0
147349, 597, 0
263985, 598, 0
138377, 599, 0
176374, 600, 0
151835, 601, 0
192209, 602, 0
167536, 603, 0
138377, 604, 0
147349, 605, 0
160673, 606, 0
156321, 607, 0
156187, 608, 0
198938, 609, 0
167536, 610, 0
268471, 611, 0
203424, 612, 0
243798, 613, 0
212396, 614, 0
136275, 615, 0
156321, 616, 0
151701, 617, 0
205667, 618, 0
234826, 619, 0
178751, 620, 0
174265, 621, 0
225854, 622, 0
167536, 623, 0
174265, 624, 0
142863, 625, 0
275200, 626, 0
183103, 627, 0
230340, 628, 0
201181, 629, 0
178617, 630, 0
160673, 631, 0
158430, 632, 0
306602, 633, 0
248284, 634, 0
210153, 635, 0
169779, 636, 0
277443, 637, 0
299873, 638, 0
221368, 639, 0
160673, 640, 0
192209, 641, 0
270714, 642, 0
205667, 643, 0
189966, 644, 0
192075, 645, 0
268471, 646, 0
349219, 647, 0
167402, 648, 0
302116, 649, 0
272957, 650, 0
246041, 651, 0
306602, 652, 0
163050, 653, 0
207910, 654, 0
212396, 655, 0
313331, 656, 0
304359, 657, 0
364920, 658, 0
239312, 659, 0
194452, 660, 0
138243, 661, 0
338004, 662, 0
149394, 663, 0
232583, 664, 0
156321, 665, 0
205533, 666, 0
180994, 667, 0
340247, 668, 0
228097, 669, 0
272957, 670, 0
205533, 671, 0
207776, 672, 0
373892, 673, 0
320060, 674, 0
373892, 675, 0
391836, 676, 0
306602, 677, 0
351462, 678, 0
338004, 679, 0
272957, 680, 0
174265, 681, 0
160807, 682, 0
255013, 683, 0
183103, 684, 0
324546, 685, 0
156187, 686, 0
416509, 687, 0
216748, 688, 0
380621, 689, 0
185346, 690, 0
165159, 691, 0
167402, 692, 0
196561, 693, 0
394079, 694, 0
407537, 695, 0
149394, 696, 0
306602, 697, 0
154078, 698, 0
178553, 699, 0
178751, 700, 0
429967, 701, 0
160807, 702, 0
367163, 703, 0
192209, 704, 0
358191, 705, 0
346976, 706, 0
263985, 707, 0
349219, 708, 0
445668, 709, 0
416509, 710, 0
165293, 711, 0
331275, 712, 0
261742, 713, 0
185480, 714, 0
420995, 715, 0
335761, 716, 0
207910, 717, 0
187723, 718, 0
228097, 719, 0
149394, 720, 0
263985, 721, 0
447911, 722, 0
432210, 723, 0
299873, 724, 0
434453, 725, 0
450154, 726, 0
232449, 727, 0
387350, 728, 0
210153, 729, 0
324546, 730, 0
373892, 731, 0
261742, 732, 0
198938, 733, 0
172022, 734, 0
281929, 735, 0
210153, 736, 0
172022, 737, 0
398565, 738, 0
183103, 739, 0
136473, 740, 0
418752, 741, 0
317817, 742, 0
389593, 743, 0
248284, 744, 0
246041, 745, 0
180860, 746, 0
178553, 747, 0
180994, 748, 0
335761, 749, 0
456883, 750, 0
450154, 751, 0
169645, 752, 0
450154, 753, 0
396322, 754, 0
232583, 755, 0
162916, 756, 0
331275, 757, 0
506229, 758, 0
210153, 759, 0
147349, 760, 0
443425, 761, 0
405294, 762, 0
250393, 763, 0
147349, 764, 0
560061, 765, 0
185346, 766, 0
349219, 767, 0
420995, 768, 0
212396, 769, 0
255013, 770, 0
477070, 771, 0
138377, 772, 0
138377, 773, 0
172022, 774, 0
178751, 775, 0
483799, 776, 0
205667, 777, 0
196561, 778, 0
560061, 779, 0
149458, 780, 0
183103, 781, 0
169779, 782, 0
452397, 783, 0
205533, 784, 0
149592, 785, 0
257256, 786, 0
535388, 787, 0
564547, 788, 0
228097, 789, 0
225720, 790, 0
492771, 791, 0
569033, 792, 0
557818, 793, 0
521930, 794, 0
584734, 795, 0
138243, 796, 0
167536, 797, 0
315574, 798, 0
378378, 799, 0
575762, 800, 0
216882, 801, 0
192209, 802, 0
176374, 803, 0
463612, 804, 0
573519, 805, 0
584734, 806, 0
407537, 807, 0
275200, 808, 0
353705, 809, 0
649781, 810, 0
445668, 811, 0
223477, 812, 0
162916, 813, 0
259365, 814, 0
176310, 815, 0
483799, 816, 0
604921, 817, 0
187589, 818, 0
371649, 819, 0
322303, 820, 0
140620, 821, 0
488285, 822, 0
180860, 823, 0
537631, 824, 0
268471, 825, 0
320060, 826, 0
311088, 827, 0
620622, 828, 0
149458, 829, 0
169779, 830, 0
566790, 831, 0
609407, 832, 0
196695, 833, 0
468098, 834, 0
178617, 835, 0
176508, 836, 0
454640, 837, 0
589220, 838, 0
551089, 839, 0
219125, 840, 0
546603, 841, 0
454640, 842, 0
178617, 843, 0
295387, 844, 0
169779, 845, 0
183237, 846, 0
216882, 847, 0
593706, 848, 0
138243, 849, 0
589220, 850, 0
492771, 851, 0
196695, 852, 0
362677, 853, 0
297630, 854, 0
470341, 855, 0
607164, 856, 0
167402, 857, 0
165293, 858, 0
346976, 859, 0
519687, 860, 0
281795, 861, 0
481556, 862, 0
530902, 863, 0
741744, 864, 0
288658, 865, 0
138243, 866, 0
396322, 867, 0
512958, 868, 0
198938, 869, 0
284038, 870, 0
676697, 871, 0
468098, 872, 0
743987, 873, 0
236871, 874, 0
165293, 875, 0
486042, 876, 0
284038, 877, 0
234826, 878, 0
613893, 879, 0
488285, 880, 0
683426, 881, 0
234826, 882, 0
618379, 883, 0
735015, 884, 0
203290, 885, 0
423238, 886, 0
281929, 887, 0
171888, 888, 0
281795, 889, 0
140620, 890, 0
551089, 891, 0
696884, 892, 0
620622, 893, 0
241421, 894, 0
791090, 895, 0
396322, 896, 0
248284, 897, 0
647538, 898, 0
371649, 899, 0
786604, 900, 0
658753, 901, 0
183103, 902, 0
515201, 903, 0
454640, 904, 0
140620, 905, 0
320060, 906, 0
257256, 907, 0
660996, 908, 0
553332, 909, 0
257256, 910, 0
676697, 911, 0
239312, 912, 0
376135, 913, 0
721557, 914, 0
761931, 915, 0
425481, 916, 0
694641, 917, 0
192209, 918, 0
160807, 919, 0
263985, 920, 0
557818, 921, 0
302116, 922, 0
690155, 923, 0
210153, 924, 0
360434, 925, 0
571276, 926, 0
315376, 927, 0
246041, 928, 0
183103, 929, 0
230206, 930, 0
355948, 931, 0
818006, 932, 0
443425, 933, 0
317817, 934, 0
162916, 935, 0
521930, 936, 0
279686, 937, 0
719314, 938, 0
306602, 939, 0
333518, 940, 0
858380, 941, 0
160807, 942, 0
310954, 943, 0
192209, 944, 0
241421, 945, 0
183237, 946, 0
618379, 947, 0
717071, 948, 0
818006, 949, 0
726043, 950, 0
636323, 951, 0
353705, 952, 0
389593, 953, 0
889782, 954, 0
212262, 955, 0
317817, 956, 0
788847, 957, 0
277309, 958, 0
297496, 959, 0
643052, 960, 0
317683, 961, 0
663239, 962, 0
156321, 963, 0
234692, 964, 0
519687, 965, 0
275066, 966, 0
221234, 967, 0
427724, 968, 0
584734, 969, 0
246041, 970, 0
156321, 971, 0
338004, 972, 0
338004, 973, 0
221368, 974, 0
663239, 975, 0
178617, 976, 0
921184, 977, 0
739501, 978, 0
934642, 979, 0
418752, 980, 0
261742, 981, 0
880810, 982, 0
690155, 983, 0
358191, 984, 0
243798, 985, 0
499500, 986, 0
634080, 987, 0
456883, 988, 0
582491, 989, 0
521930, 990, 0
761931, 991, 0
665482, 992, 0
396322, 993, 0
847165, 994, 0
530902, 995, 0
187723, 996, 0
486042, 997, 0
824735, 998, 0
824735, 999, 0
968287, 1000, 0
138377, 1001, 0
954829, 1002, 0
880810, 1003, 0
530902, 1004, 0
804548, 1005, 0
158564, 1006, 0
898754, 1007, 0
275066, 1008, 0
723800, 1009, 0
833707, 1010, 0
333518, 1011, 0
775389, 1012, 0
263851, 1013, 0
824735, 1014, 0
631837, 1015, 0
346842, 1016, 0
880810, 1017, 0
748473, 1018, 0
770903, 1019, 0
290767, 1020, 0
250527, 1021, 0
306468, 1022, 0
925670, 1023, 0
730529, 1024, 0
761931, 1025, 0
838193, 1026, 0
674454, 1027, 0
391836, 1028, 0
183237, 1029, 0
165159, 1030, 0
1004175, 1031, 0
279552, 1032, 0
499500, 1033, 0
640809, 1034, 0
860623, 1035, 0
252636, 1036, 0
1022119, 1037, 0
1033334, 1038, 0
571276, 1039, 0
443425, 1040, 0
281795, 1041, 0
501743, 1042, 0
272823, 1043, 0
490528, 1044, 0
883053, 1045, 0
207910, 1046, 0
432210, 1047, 0
194452, 1048, 0
317683, 1049, 0
187589, 1050, 0
315574, 1051, 0
