gas used, block number, num trades
274073, 27, 0
136473, 28, 0
136925, 29, 0
139168, 30, 0
141411, 31, 0
136473, 32, 0
145106, 33, 0
138377, 34, 0
142863, 35, 0
152626, 36, 0
144836, 37, 0
147349, 38, 0
136791, 39, 0
145106, 40, 0
138377, 41, 0
136339, 42, 0
154078, 43, 0
142863, 44, 0
140620, 45, 0
158564, 46, 0
145106, 47, 0
170570, 48, 0
138377, 49, 0
169779, 50, 0
141277, 51, 0
140486, 52, 0
136473, 53, 0
156321, 54, 0
138243, 55, 0
180994, 56, 0
142863, 57, 0
163050, 58, 0
142729, 59, 0
140486, 60, 0
156321, 61, 0
185480, 62, 0
140486, 63, 0
151835, 64, 0
189966, 65, 0
151835, 66, 0
196695, 67, 0
142729, 68, 0
189966, 69, 0
178751, 70, 0
163050, 71, 0
151835, 72, 0
140620, 73, 0
163050, 74, 0
185480, 75, 0
138179, 76, 0
2825505, 78, 29
