gas used, block number, num trades
274471, 13, 0
147008, 14, 0
231402, 15, 1
138963, 16, 0
216402, 17, 1
216402, 18, 1
141206, 19, 0
216402, 20, 1
138511, 21, 0
144901, 22, 0
138511, 23, 0
216402, 24, 1
216402, 25, 1
138829, 26, 0
372060, 27, 3
309303, 28, 2
138511, 29, 0
138511, 30, 0
138313, 31, 0
142658, 32, 0
144901, 33, 0
216402, 34, 1
144901, 35, 0
216402, 36, 1
216268, 37, 1
143315, 38, 0
147144, 39, 0
142658, 40, 0
216402, 41, 1
216402, 42, 1
372204, 43, 3
605725, 44, 6
309159, 45, 2
216402, 46, 1
144767, 47, 0
216402, 48, 1
147737, 49, 0
216402, 50, 1
216402, 51, 1
216402, 52, 1
216402, 53, 1
142524, 54, 0
144767, 55, 0
216402, 56, 1
294303, 57, 2
216402, 58, 1
142524, 59, 0
294303, 60, 2
216402, 61, 1
216402, 62, 1
138511, 63, 0
152287, 64, 0
149253, 65, 0
216402, 66, 1
216402, 67, 1
216402, 68, 1
216402, 69, 1
216402, 70, 1
216402, 71, 1
216402, 72, 1
294303, 73, 2
138511, 74, 0
140415, 75, 0
216402, 76, 1
216402, 77, 1
216402, 78, 1
216402, 79, 1
142658, 80, 0
144901, 81, 0
144901, 82, 0
449942, 83, 4
216268, 84, 1
216402, 85, 1
140415, 86, 0
216402, 87, 1
149253, 88, 0
372050, 89, 3
294303, 90, 2
294303, 91, 2
216402, 92, 1
294303, 93, 2
138511, 94, 0
216402, 95, 1
155982, 96, 0
216402, 97, 1
216402, 98, 1
294303, 99, 2
216402, 100, 1
216402, 101, 1
140281, 102, 0
216402, 103, 1
140281, 104, 0
294303, 105, 2
216402, 106, 1
138511, 107, 0
216402, 108, 1
138511, 109, 0
138511, 110, 0
371996, 111, 3
216402, 112, 1
138377, 113, 0
216402, 114, 1
216402, 115, 1
216402, 116, 1
294303, 117, 2
138511, 118, 0
216402, 119, 1
294303, 120, 2
216402, 121, 1
140415, 122, 0
151496, 123, 0
138511, 124, 0
216402, 125, 1
147010, 126, 0
294159, 127, 2
138377, 128, 0
142658, 129, 0
216402, 130, 1
216402, 131, 1
294303, 132, 2
138511, 133, 0
142658, 134, 0
216402, 135, 1
138377, 136, 0
216402, 137, 1
216402, 138, 1
372204, 139, 3
216402, 140, 1
153739, 141, 0
138511, 142, 0
153873, 143, 0
138377, 144, 0
142658, 145, 0
140415, 146, 0
216402, 147, 1
144901, 148, 0
216402, 149, 1
216402, 150, 1
216402, 151, 1
144901, 152, 0
144901, 153, 0
162845, 154, 0
216402, 155, 1
216402, 156, 1
683626, 157, 7
142658, 158, 0
449888, 159, 4
216402, 160, 1
216402, 161, 1
162711, 162, 0
