gas used, block number, num trades
274379, 13, 0
146874, 14, 0
138963, 15, 0
140415, 16, 0
138829, 17, 0
231402, 18, 1
216402, 19, 1
309095, 20, 2
143315, 21, 0
216412, 22, 1
140415, 23, 0
140415, 24, 0
145692, 25, 0
216402, 26, 1
138511, 27, 0
231412, 28, 1
142658, 29, 0
153873, 30, 0
156116, 31, 0
605725, 32, 6
216402, 33, 1
138511, 34, 0
216402, 35, 1
144901, 36, 0
150178, 37, 0
216402, 38, 1
216402, 39, 1
140415, 40, 0
140415, 41, 0
156116, 42, 0
158359, 43, 0
160602, 44, 0
138511, 45, 0
162845, 46, 0
216402, 47, 1
216402, 48, 1
142658, 49, 0
153873, 50, 0
140415, 51, 0
294303, 52, 2
216402, 53, 1
171817, 54, 0
138511, 55, 0
138511, 56, 0
140415, 57, 0
176303, 58, 0
151630, 59, 0
142658, 60, 0
140415, 61, 0
216402, 62, 1
138377, 63, 0
183032, 64, 0
165088, 65, 0
142658, 66, 0
156116, 67, 0
138377, 68, 0
140415, 69, 0
192004, 70, 0
189761, 71, 0
138377, 72, 0
171817, 73, 0
162845, 74, 0
153873, 75, 0
180789, 76, 0
683626, 77, 7
216402, 78, 1
171817, 79, 0
171817, 80, 0
527843, 81, 5
138511, 82, 0
140415, 83, 0
216402, 84, 1
142658, 85, 0
160602, 86, 0
142658, 87, 0
138377, 88, 0
142658, 89, 0
176303, 90, 0
140415, 91, 0
216402, 92, 1
138511, 93, 0
216402, 94, 1
147144, 95, 0
142658, 96, 0
151630, 97, 0
216402, 98, 1
839409, 99, 9
294303, 100, 2
216402, 101, 1
138511, 102, 0
216268, 103, 1
216402, 104, 1
216402, 105, 1
216402, 106, 1
207705, 107, 0
196490, 108, 0
174060, 109, 0
216402, 110, 1
683626, 111, 7
216402, 112, 1
216402, 113, 1
138511, 114, 0
216412, 115, 1
216268, 116, 1
140415, 117, 0
216402, 118, 1
144767, 119, 0
216402, 120, 1
216402, 121, 1
216402, 122, 1
216402, 123, 1
216412, 124, 1
142658, 125, 0
216268, 126, 1
216402, 127, 1
216402, 128, 1
216402, 129, 1
162845, 130, 0
216402, 131, 1
140281, 132, 0
294303, 133, 2
138377, 134, 0
1306761, 135, 15
138511, 136, 0
216402, 137, 1
140415, 138, 0
216402, 139, 1
216402, 140, 1
216402, 141, 1
216402, 142, 1
142658, 143, 0
216402, 144, 1
178546, 145, 0
216402, 146, 1
146946, 147, 0
216412, 148, 1
216402, 149, 1
165088, 150, 0
165088, 151, 0
140281, 152, 0
144901, 153, 0
216402, 154, 1
216402, 155, 1
140415, 156, 0
138511, 157, 0
171817, 158, 0
149387, 159, 0
200976, 160, 0
151630, 161, 0
144767, 162, 0
216402, 163, 1
216402, 164, 1
216402, 165, 1
151432, 166, 0
160468, 167, 0
216402, 168, 1
294303, 169, 2
144901, 170, 0
151630, 171, 0
761518, 172, 8
216268, 173, 1
216402, 174, 1
197281, 175, 0
156116, 176, 0
142658, 177, 0
449942, 178, 4
216402, 179, 1
144767, 180, 0
216402, 181, 1
216412, 182, 1
140415, 183, 0
216402, 184, 1
140415, 185, 0
153873, 186, 0
216402, 187, 1
138511, 188, 0
147144, 189, 0
294303, 190, 2
178546, 191, 0
162845, 192, 0
138511, 193, 0
153873, 194, 0
140415, 195, 0
180789, 196, 0
216402, 197, 1
216402, 198, 1
178546, 199, 0
140415, 200, 0
144901, 201, 0
183032, 202, 0
216402, 203, 1
156116, 204, 0
216402, 205, 1
216402, 206, 1
140415, 207, 0
156116, 208, 0
151630, 209, 0
149387, 210, 0
216402, 211, 1
242141, 212, 0
234621, 213, 0
138511, 214, 0
174060, 215, 0
144901, 216, 0
252565, 217, 0
216402, 218, 1
252565, 219, 0
142524, 220, 0
252565, 221, 0
294303, 222, 2
156116, 223, 0
138511, 224, 0
216402, 225, 1
294159, 226, 2
216402, 227, 1
162845, 228, 0
216402, 229, 1
216402, 230, 1
140281, 231, 0
178546, 232, 0
216402, 233, 1
167331, 234, 0
241350, 235, 0
248079, 236, 0
138377, 237, 0
162845, 238, 0
165088, 239, 0
180789, 240, 0
813445, 241, 9
1073085, 242, 12
138511, 243, 0
839409, 244, 9
138511, 245, 0
216402, 246, 1
216402, 247, 1
216402, 248, 1
140415, 249, 0
216402, 250, 1
138511, 251, 0
140415, 252, 0
147144, 253, 0
216402, 254, 1
216402, 255, 1
216402, 256, 1
147144, 257, 0
147144, 258, 0
372204, 259, 3
156116, 260, 0
140415, 261, 0
149387, 262, 0
225649, 263, 0
527843, 264, 5
216402, 265, 1
138511, 266, 0
212191, 267, 0
216402, 268, 1
216402, 269, 1
144901, 270, 0
140415, 271, 0
142658, 272, 0
140415, 273, 0
149387, 274, 0
