gas used, block number, num trades
221163, 367, 0
138511, 368, 0
216402, 369, 1
216402, 370, 1
216402, 371, 1
216402, 372, 1
216402, 373, 1
140281, 374, 0
294303, 375, 2
138511, 376, 0
216268, 377, 1
683616, 378, 7
294303, 379, 2
138511, 380, 0
205462, 381, 0
156116, 382, 0
216402, 383, 1
151496, 384, 0
294303, 385, 2
173926, 386, 0
230135, 387, 0
216402, 388, 1
138511, 389, 0
138511, 390, 0
147010, 391, 0
216402, 392, 1
216402, 393, 1
140415, 394, 0
294169, 395, 2
198733, 396, 0
216402, 397, 1
144901, 398, 0
138511, 399, 0
138511, 400, 0
216402, 401, 1
216402, 402, 1
263780, 403, 0
372204, 404, 3
216402, 405, 1
138377, 406, 0
216402, 407, 1
216402, 408, 1
372050, 409, 3
142658, 410, 0
294105, 411, 2
216402, 412, 1
216402, 413, 1
216402, 414, 1
216402, 415, 1
140281, 416, 0
216402, 417, 1
144901, 418, 0
216402, 419, 1
294303, 420, 2
144901, 421, 0
294159, 422, 2
214434, 423, 0
216402, 424, 1
216402, 425, 1
683626, 426, 7
138511, 427, 0
180789, 428, 0
216402, 429, 1
216402, 430, 1
214434, 431, 0
216402, 432, 1
216402, 433, 1
144901, 434, 0
294303, 435, 2
216402, 436, 1
216402, 437, 1
294303, 438, 2
169574, 439, 0
140415, 440, 0
221163, 441, 0
149253, 442, 0
216402, 443, 1
138511, 444, 0
140415, 445, 0
138511, 446, 0
153873, 447, 0
142658, 448, 0
140281, 449, 0
216402, 450, 1
449942, 451, 4
243593, 452, 0
527843, 453, 5
140281, 454, 0
216402, 455, 1
140281, 456, 0
180789, 457, 0
216402, 458, 1
200842, 459, 0
216402, 460, 1
294303, 461, 2
216402, 462, 1
142460, 463, 0
138511, 464, 0
216402, 465, 1
207571, 466, 0
216402, 467, 1
194247, 468, 0
294303, 469, 2
216402, 470, 1
147010, 471, 0
140415, 472, 0
216402, 473, 1
272752, 474, 0
216402, 475, 1
140415, 476, 0
198599, 477, 0
138511, 478, 0
156116, 479, 0
216402, 480, 1
138511, 481, 0
294303, 482, 2
270509, 483, 0
216268, 484, 1
138511, 485, 0
142658, 486, 0
216402, 487, 1
216402, 488, 1
189761, 489, 0
144767, 490, 0
216402, 491, 1
149253, 492, 0
216402, 493, 1
221163, 494, 0
216402, 495, 1
372060, 496, 3
138511, 497, 0
140281, 498, 0
294303, 499, 2
216402, 500, 1
140415, 501, 0
140415, 502, 0
216402, 503, 1
147144, 504, 0
216402, 505, 1
216402, 506, 1
917301, 507, 10
142524, 508, 0
216402, 509, 1
216402, 510, 1
294303, 511, 2
138377, 512, 0
196356, 513, 0
155982, 514, 0
138511, 515, 0
225649, 516, 0
216402, 517, 1
158359, 518, 0
138511, 519, 0
216402, 520, 1
140281, 521, 0
216402, 522, 1
216402, 523, 1
138511, 524, 0
216402, 525, 1
144901, 526, 0
138511, 527, 0
140415, 528, 0
216402, 529, 1
138511, 530, 0
294303, 531, 2
138511, 532, 0
216402, 533, 1
151630, 534, 0
216402, 535, 1
203085, 536, 0
216402, 537, 1
153873, 538, 0
295182, 539, 0
527833, 540, 5
294303, 541, 2
449952, 542, 4
140415, 543, 0
144767, 544, 0
216402, 545, 1
279481, 546, 0
216402, 547, 1
216402, 548, 1
294303, 549, 2
